,EVTYPE,prod.actual,crop.actual,smoothed_prod,smoothed_crop
23,FLOOD,132836489050,5170955450,25.6123848032,22.366323315
62,HURRICANE/TYPHOON,26740295000,2607872800,24.0094374407,21.6818007068
99,TORNADO,16166946743,403379620,23.5062346704,19.8153886616
57,HURRICANE,9716358000,2688910000,22.9970766938,21.712401744
37,HAIL,7994788690,2053807900,22.8020557526,21.4429614192
19,FLASH FLOOD,7328496127,1388029050,22.7150361649,21.0511506282
75,RIVER FLOOD,5079635000,5028734000,22.3485052456,22.3384340995
85,STORM SURGE/TIDE,4640643000,850000,22.2581187712,13.6529916285
118,WILDFIRE,3498365470,186102900,21.9755616878,19.0418103045
89,THUNDERSTORM WIND,3398942440,414705550,21.9467301731,19.8430793083
52,HIGH WIND,2425742340,631924300,21.6094034341,20.2642801665
60,HURRICANE OPAL,2168000000,19000000,21.4970709205,16.7599495371
101,"TORNADOES, TSTM WIND, HAIL",1600000000,2500000,21.1932694662,14.7318012898
103,TROPICAL STORM,1056591350,451711000,20.778313856,19.9285531528
122,WINTER STORM,1017844200,23724000,20.7409526982,16.9819977519
64,ICE STORM,903037350,5022113500,20.6212744727,22.337116698
107,TSTM WIND,658305660,497284450,20.3051799103,20.0246727543
69,LIGHTNING,315273980,5512150,19.5689525965,15.5224653047
44,HEAVY RAIN,310701930,64585800,19.5543445861,17.9835051303
90,THUNDERSTORM WINDS,280271000,186113280,19.4512675502,19.0418660786
20,FLASH FLOOD/FLOOD,271000000,505000,19.4176293788,13.1323137083
58,HURRICANE ERIN,256000000,6010000,19.3606880024,15.6089353065
11,DROUGHT,233721000,1652696000,19.2696386543,21.2256737308
48,HEAVY SNOW,178292000,131643100,18.9989332136,18.6956050308
5,COASTAL FLOOD,167580560,0,18.9369747488,0
68,LANDSLIDE,150303500,20017000,18.8281671412,16.8120924705
109,TSUNAMI,144062000,20000,18.7857543204,9.9034875525
86,STRONG WIND,119252060,64948500,18.5967499622,17.9891052061
56,HIGH WINDS/COLD,110500000,7000000,18.5205260789,15.761420707
76,River Flooding,105990000,28020000,18.478855308,17.1484290989
61,HURRICANE OPAL/HIGH WINDS,100000000,10000000,18.420680744,16.118095651
4,BLIZZARD,94981000,112060000,18.3691874296,18.5345450001
54,HIGH WINDS,91805000,19700550,18.3351773203,16.7961571121
51,HIGH SURF,83017500,0,18.2345619869,0
24,FLOOD/FLASH FLOOD,69300000,95034000,18.0539554642,18.3697452803
21,FLASH FLOODING,61032000,10106050,17.9269088748,16.1286448124
123,WINTER STORM HIGH WINDS,60000000,5000000,17.9098551202,15.4249484704
25,FLOODING,55465000,8855500,17.8312627492,15.9965492929
116,WILD/FOREST FIRE,48842000,98707200,17.7041011564,18.4076684501
66,LAKE-EFFECT SNOW,40035000,0,17.5052646295,0
6,COASTAL FLOODING,25300000,56000,17.0463149537,10.9331069697
125,WINTER WEATHER,19897500,15000000,16.8061046537,16.5235607591
110,TYPHOON,15730000,825000,16.571080275,13.6231386653
45,Heavy Rain/High Surf,13500000,1500000,16.4182002434,14.2209756661
46,HEAVY RAINS,11000000,60500000,16.2134058308,17.918153923
32,FROST/FREEZE,9480000,931801000,16.0646948742,20.6526298305
113,URBAN/SML STREAM FLD,9438600,2658100,16.060318222,14.7931221398
67,LAKESHORE FLOOD,7540000,0,15.83573274,0
55,HIGH WINDS HEAVY RAINS,7500000,10000,15.8304135785,9.210340372
18,EXTREME COLD/WIND CHILL,7038000,0,15.7668345969,0
115,WATERSPOUT,5206200,0,15.465360781,0
63,ICE JAM FLOODING,5000000,5000000,15.4249484704,15.4249484704
28,FOREST FIRES,5000000,500000,15.4249484704,13.1223633774
47,HEAVY RAINS/FLOODING,4720000,353000,15.3673193576,12.7742233359
106,TROPICAL STORM JERRY,4600000,16000000,15.3415668615,16.5880992802
108,TSTM WIND/HAIL,4295000,24347000,15.2729621134,17.0079191966
112,URBAN FLOODING,3665000,366500,15.1143388933,12.8117538003
14,DUST STORM,3399000,2350000,15.0389918287,14.6699258861
111,URBAN FLOOD,3340000,923500,15.021481365,13.7359260786
84,STORM SURGE,2915000,5000,14.8853803778,8.5171931914
9,DENSE FOG,2842000,0,14.8600185876,0
3,AVALANCHE,2385800,0,14.6850450558,0
17,EXTREME COLD,2355000,2255000,14.6720512854,14.6286605309
30,FREEZING FOG,2182000,0,14.5957524454,0
8,COLD/WIND CHILL,1990000,600000,14.5036451967,13.3046849342
22,FLASH FLOODING/FLOOD,1750000,175000,14.3751263459,12.0725412529
95,THUNDERSTORM WINDSS,1715500,59050,14.3552151413,10.9861398216
41,HEAT,1655000,735000,14.3193115668,13.5076257782
49,HEAVY SNOW/HIGH WINDS & FLOOD,1500000,20000,14.2209756661,9.9034875525
16,EXCESSIVE HEAT,1403200,492400000,14.1542659006,20.0148019523
102,TROPICAL DEPRESSION,1302000,0,14.0794121018,0
71,MARINE HIGH WIND,1140010,0,13.9465475923,0
31,Frost/Freeze,1000000,100000,13.815510558,11.512925465
80,SEVERE THUNDERSTORMS,500000,17000000,13.1223633774,16.648723902
59,HURRICANE FELIX,500000,500000,13.1223633774,13.1223633774
105,TROPICAL STORM GORDON,500000,500000,13.1223633774,13.1223633774
119,WILDFIRES,500000,500000,13.1223633774,13.1223633774
124,WINTER STORMS,500000,500000,13.1223633774,13.1223633774
26,FLOODS,500000,50000,13.1223633774,10.8197782844
40,HAIL/WINDS,500000,50000,13.1223633774,10.8197782844
73,MARINE THUNDERSTORM WIND,436400,50000,12.9863145329,10.8197782844
72,MARINE STRONG WIND,403330,0,12.9075103644,0
104,TROPICAL STORM DEAN,400000,50000,12.8992198261,10.8197782844
13,DUST DEVIL,381130,0,12.8508958033,0
2,ASTRONOMICAL LOW TIDE,320000,0,12.6760762748,0
34,GLAZE ICE,304500,800,12.6264263661,6.6846117277
29,FREEZE,200000,475000,12.2060726455,13.071070083
43,HEAT WAVE DROUGHT,200000,50000,12.2060726455,10.8197782844
42,HEAT WAVE,160000,150000,11.9829290942,11.9183905731
79,SEVERE THUNDERSTORM WINDS,150000,29000000,11.9183905731,17.182806388
36,GUSTY WINDS,145000,200000,11.8844890214,12.2060726455
12,DRY MICROBURST,114000,9000,11.6439537274,9.1049798563
10,DENSE SMOKE,100000,0,11.512925465,0
78,SEICHE,100000,0,11.512925465,0
33,FUNNEL CLOUD,65100,0,11.0836798282,0
91,THUNDERSTORM WINDS HAIL,52000,45000,10.8589989976,10.7144177688
35,GUSTNADO,51050,1550,10.8405608236,7.3460102099
15,DUST STORM/HIGH WINDS,50000,500000,10.8197782844,13.1223633774
77,RIVER FLOODING,50000,5000,10.8197782844,8.5171931914
87,THUDERSTORM WINDS,50000,5000,10.8197782844,8.5171931914
53,HIGH WIND AND SEAS,50000,0,10.8197782844,0
65,ICY ROADS,47000,0,10.7579028807,0
82,SMALL HAIL,40000,500000,10.5966347331,13.1223633774
27,FOG,32000,0,10.3734911818,0
94,THUNDERSTORM WINDS/HAIL,20000,30000,9.9034875525,10.3089526606
117,WILD/FOREST FIRES,20000,12000,9.9034875525,9.3926619288
100,TORNADO F0,10200,7200,9.2301429993,8.881836305
93,THUNDERSTORM WINDS/ FLOOD,10000,30000,9.210340372,10.3089526606
92,THUNDERSTORM WINDS LIGHTNING,10000,5000,9.210340372,8.5171931914
97,THUNDERSTORMS WIND,10000,5000,9.210340372,8.5171931914
120,WIND DAMAGE,10000,5000,9.210340372,8.5171931914
88,THUNDERSTORM HAIL,5000,50000,8.5171931914,10.8197782844
38,HAIL 100,5000,10000,8.5171931914,9.210340372
96,THUNDERSTORMS,5000,5000,8.5171931914,8.5171931914
98,THUNDERSTORMS WINDS,5000,1000,8.5171931914,6.907755279
1,ASTRONOMICAL HIGH TIDE,5000,0,8.5171931914,0
70,MARINE HAIL,4000,0,8.2940496401,0
83,SNOW,1000,10000,6.907755279,9.210340372
74,RIP CURRENT,1000,0,6.907755279,0
121,WINDS,500,5000,6.2146080984,8.5171931914
39,HAIL/WIND,500,50,6.2146080984,3.9120230054
7,COLD AIR TORNADO,50,50,3.9120230054,3.9120230054
50,HEAVY SURF/HIGH SURF,0,0,0,0
81,SLEET,0,0,0,0
114,VOLCANIC ASHFALL,0,0,0,0
